repo_name,created_at,age,pull_requests,releases,updated_at,language,open_issues,closed_issues,closed_issues_percent
cs-video-courses,2016-10-21T17:02:11Z,8,0,0,2024-08-25T21:06:32Z,,3,0,0.0
v2rayN,2019-07-30T03:47:24Z,5,0,0,2024-08-25T20:49:42Z,C#,24,0,0.0
HowToCook,2020-02-29T10:43:49Z,4,0,0,2024-08-25T17:54:14Z,Dockerfile,386,0,0.0
redis,2009-03-21T22:32:25Z,15,0,0,2024-08-25T19:11:54Z,C,2489,0,0.0
devops-exercises,2019-10-03T17:31:21Z,5,0,0,2024-08-25T21:02:58Z,Python,35,0,0.0
protobuf,2014-08-26T15:52:15Z,10,0,0,2024-08-25T19:00:37Z,C++,340,0,0.0
playwright,2019-11-15T18:32:42Z,5,0,0,2024-08-25T20:10:53Z,TypeScript,645,0,0.0
awesome-machine-learning,2014-07-15T19:11:19Z,10,0,0,2024-08-25T21:13:11Z,Python,1,0,0.0
express,2009-06-26T18:56:01Z,15,0,0,2024-08-25T20:49:06Z,JavaScript,175,0,0.0
webpack,2012-03-10T10:08:14Z,12,0,0,2024-08-25T09:33:29Z,JavaScript,252,0,0.0
Chart.js,2013-03-17T23:56:36Z,11,0,0,2024-08-25T18:57:31Z,JavaScript,418,0,0.0
awesome-react,2014-08-06T05:31:44Z,10,0,0,2024-08-25T21:02:47Z,,15,0,0.0
llama.cpp,2023-03-10T18:58:00Z,1,0,0,2024-08-25T21:45:27Z,C++,591,0,0.0
grafana,2013-12-11T15:59:56Z,11,0,0,2024-08-25T21:19:53Z,TypeScript,4153,0,0.0
hoppscotch,2019-08-21T13:15:24Z,5,0,0,2024-08-25T19:54:28Z,TypeScript,413,0,0.0
gpt_academic,2023-03-20T09:05:13Z,1,0,0,2024-08-25T21:54:40Z,Python,323,0,0.0
fzf,2013-10-23T16:04:23Z,11,0,0,2024-08-25T21:34:50Z,Go,295,0,0.0
syncthing,2013-11-26T09:48:21Z,11,0,0,2024-08-25T17:07:09Z,Go,383,0,0.0
interviews,2017-02-14T18:19:25Z,7,0,0,2024-08-25T20:32:20Z,Java,113,0,0.0
33-js-concepts,2018-09-04T13:27:04Z,6,0,0,2024-08-25T19:20:22Z,JavaScript,43,0,0.0
sway,2021-01-19T20:54:33Z,3,0,0,2024-08-25T21:40:40Z,Rust,823,0,0.0
strapi,2015-09-30T15:34:48Z,9,0,0,2024-08-25T20:45:17Z,TypeScript,814,0,0.0
system-design-101,2023-09-18T20:52:03Z,1,0,0,2024-08-25T21:16:19Z,,39,0,0.0
ansible,2012-03-06T14:58:02Z,12,0,0,2024-08-25T19:57:00Z,Python,880,0,0.0
javascript-questions,2019-06-12T08:26:27Z,5,0,0,2024-08-25T21:49:39Z,,23,0,0.0
the-algorithm,2023-03-27T14:57:57Z,1,0,0,2024-08-25T21:23:34Z,Scala,463,0,0.0
cpython,2017-02-10T19:23:51Z,7,0,0,2024-08-25T21:38:55Z,Python,8853,0,0.0
resume.github.com,2011-02-06T13:39:55Z,13,0,0,2024-08-25T20:54:51Z,JavaScript,67,0,0.0
manim,2015-03-22T18:50:58Z,9,0,0,2024-08-25T21:13:48Z,Python,433,0,0.0
keras,2015-03-28T00:35:42Z,9,0,0,2024-08-25T18:18:41Z,Python,233,0,0.0
superset,2015-07-21T18:55:34Z,9,0,0,2024-08-25T22:01:46Z,TypeScript,908,0,0.0
Ventoy,2020-03-10T15:19:19Z,4,0,0,2024-08-25T20:49:48Z,C,746,0,0.0
generative-ai-for-beginners,2023-06-19T16:28:59Z,1,0,0,2024-08-25T21:49:24Z,Jupyter Notebook,23,0,0.0
socket.io,2010-03-11T18:24:48Z,14,0,0,2024-08-25T19:18:25Z,TypeScript,193,0,0.0
redux,2015-05-29T23:53:15Z,9,0,0,2024-08-25T03:21:49Z,TypeScript,38,0,0.0
d2l-zh,2017-08-23T04:40:24Z,7,0,0,2024-08-25T16:50:10Z,Python,83,0,0.0
Best-websites-a-programmer-should-visit,2017-03-05T20:25:17Z,7,0,0,2024-08-25T22:00:12Z,,907,0,0.0
tesseract,2014-08-12T18:04:59Z,10,0,0,2024-08-25T18:54:13Z,C++,425,0,0.0
nocode,2018-02-06T23:54:00Z,6,0,0,2024-08-25T16:17:51Z,Dockerfile,4459,0,0.0
atom,2012-01-20T18:18:21Z,12,0,0,2024-08-25T19:30:41Z,JavaScript,994,0,0.0
echarts,2013-04-03T03:18:59Z,11,0,0,2024-08-25T20:48:34Z,TypeScript,2212,0,0.0
awesome-public-datasets,2014-11-20T06:20:50Z,10,0,0,2024-08-25T20:06:26Z,,125,0,0.0
gpt4free,2023-03-29T17:00:43Z,1,0,0,2024-08-25T21:30:30Z,Python,27,0,0.0
markdown-here,2012-05-13T03:27:22Z,12,0,0,2024-08-25T02:04:42Z,JavaScript,471,0,0.0
architect-awesome,2018-04-06T13:30:58Z,6,0,0,2024-08-25T06:52:18Z,,66,0,0.0
lodash,2012-04-07T04:11:46Z,12,0,0,2024-08-25T18:28:35Z,JavaScript,100,0,0.0
Front-end-Developer-Interview-Questions,2012-02-09T23:34:10Z,12,0,0,2024-08-25T21:10:20Z,Nunjucks,40,0,0.0
PayloadsAllTheThings,2016-10-18T07:29:07Z,8,0,0,2024-08-25T19:45:56Z,Python,25,0,0.0
scikit-learn,2010-08-17T09:43:38Z,14,0,0,2024-08-25T21:37:43Z,Python,2092,0,0.0
jquery,2009-04-03T15:20:14Z,15,0,0,2024-08-25T20:08:03Z,JavaScript,88,0,0.0
imgui,2014-07-21T14:29:47Z,10,0,0,2024-08-25T21:40:04Z,C++,1053,0,0.0
angular.js,2010-01-06T00:34:37Z,14,0,0,2024-08-25T09:03:13Z,JavaScript,463,0,0.0
obs-studio,2013-10-01T02:40:31Z,11,0,0,2024-08-25T18:37:50Z,C,769,0,0.0
openai-cookbook,2022-03-11T02:08:53Z,2,0,0,2024-08-25T20:21:30Z,MDX,65,0,0.0
shadowsocks-windows,2013-01-14T07:54:16Z,11,0,0,2024-08-25T20:39:54Z,C#,179,0,0.0
awesome-cpp,2014-07-17T08:51:11Z,10,0,0,2024-08-25T20:17:47Z,,411,0,0.0
fuel-core,2020-08-27T21:12:14Z,4,0,0,2024-08-25T21:40:39Z,Rust,180,0,0.0
